sepal_length,sepal_width,petal_length,petal_width,species
5.32,3.01,1.54,0.38,setosa
5.48,3.21,1.01,0.54,setosa
5.85,3.22,1.84,0.52,setosa
4.60,3.92,1.37,0.10,setosa
6.14,2.53,4.97,1.40,versicolor
5.23,3.11,3.75,1.70,versicolor
5.68,2.33,3.85,1.24,versicolor
5.93,2.71,3.80,1.05,versicolor
6.68,3.38,4.93,1.70,versicolor
6.50,2.50,4.96,1.25,versicolor
5.47,2.92,3.52,1.63,versicolor
6.03,2.56,4.03,1.55,versicolor
5.01,2.22,3.34,1.26,versicolor
5.56,3.35,3.68,1.20,versicolor
6.45,3.03,4.32,1.15,versicolor
5.18,2.55,3.83,1.42,versicolor
5.67,3.25,4.12,1.76,versicolor
6.01,2.34,4.88,1.62,versicolor
5.10,2.73,4.15,1.40,versicolor
5.84,3.04,4.47,1.51,versicolor
6.06,2.93,4.60,1.06,versicolor
5.33,3.39,4.28,1.08,versicolor
6.70,2.89,4.32,1.35,versicolor
5.15,3.03,4.27,1.54,versicolor
5.53,2.17,3.92,1.23,versicolor
6.48,2.69,3.63,1.20,versicolor
6.06,3.05,4.62,1.50,versicolor
6.43,2.52,4.84,1.22,versicolor
5.14,3.40,3.25,1.06,versicolor
5.07,2.76,3.67,1.52,versicolor
5.37,2.73,3.65,1.19,versicolor
5.79,2.96,4.22,1.11,versicolor
6.02,2.77,4.76,1.57,versicolor
5.91,3.16,4.42,1.22,versicolor
5.52,2.48,3.51,1.60,versicolor
6.04,2.80,4.23,1.08,versicolor
5.19,2.56,3.58,1.27,versicolor
6.46,3.34,4.69,1.12,versicolor
5.55,2.54,3.78,1.22,versicolor
5.82,3.33,4.17,1.41,versicolor
6.13,2.79,4.41,1.73,versicolor
6.41,3.24,4.54,1.56,versicolor
5.90,2.65,4.42,1.01,versicolor
5.67,2.42,4.44,1.34,versicolor
5.65,3.02,3.81,1.58,versicolor
6.24,2.25,4.37,1.42,versicolor
5.38,3.02,3.64,1.37,versicolor
5.81,2.30,4.13,1.17,versicolor
6.00,2.98,4.76,1.38,versicolor
6.52,2.43,4.16,1.55,versicolor
6.10,2.72,4.50,1.77,versicolor
6.00,3.25,4.48,1.51,versicolor
5.40,3.15,4.32,1.06,versicolor
6.03,2.57,4.45,1.69,versicolor
5.81,2.84,4.36,1.30,versicolor
7.00,3.26,6.33,2.11,virginica
6.77,2.94,5.96,2.44,virginica
7.76,3.44,6.56,1.82,virginica
6.95,2.90,6.59,2.08,virginica
7.54,2.38,5.84,2.21,virginica
7.13,3.03,6.84,2.45,virginica
6.59,2.83,5.75,1.99,virginica
7.13,3.32,5.90,1.92,virginica
6.96,3.32,5.69,2.17,virginica
7.44,2.84,5.55,2.49,virginica
6.32,3.04,5.19,2.04,virginica
7.35,3.33,5.86,2.46,virginica
6.49,3.23,5.35,1.94,virginica
6.45,3.06,5.53,2.40,virginica
7.34,3.03,5.94,2.00,virginica
6.92,3.08,5.93,2.45,virginica
6.80,3.07,5.89,2.01,virginica
7.48,3.39,6.37,2.46,virginica
7.01,3.12,5.14,2.02,virginica
6.54,2.95,5.48,2.46,virginica
6.58,2.68,5.50,1.89,virginica
7.17,3.40,6.19,2.30,virginica
6.57,3.07,5.69,2.18,virginica
7.23,3.12,6.17,2.38,virginica
6.63,2.50,5.54,1.78,virginica
6.25,2.73,4.99,1.73,virginica
7.80,3.08,6.11,2.07,virginica
6.46,3.01,5.75,1.73,virginica
7.27,3.35,6.06,2.05,virginica
6.69,3.25,5.19,2.36,virginica
7.69,3.32,6.15,2.45,virginica
6.93,2.92,5.80,2.31,virginica
7.55,3.33,6.27,1.61,virginica
7.36,2.86,6.93,2.43,virginica
7.47,2.94,6.52,2.18,virginica
6.61,3.07,5.10,1.85,virginica
7.23,2.84,6.01,2.03,virginica
7.13,3.26,5.62,2.31,virginica
6.68,2.80,6.24,2.32,virginica
6.58,2.99,5.97,2.41,virginica
6.23,3.32,5.56,2.43,virginica
6.26,2.75,5.68,1.92,virginica
7.21,2.61,6.34,2.29,virginica
7.77,3.18,6.42,2.31,virginica
6.87,2.90,5.57,2.20,virginica
6.48,3.24,5.74,2.19,virginica
7.34,2.72,6.06,1.83,virginica
6.92,3.09,5.41,2.08,virginica
6.62,2.92,5.09,1.90,virginica
7.32,3.01,6.36,2.50,virginica
6.51,3.10,5.23,2.17,virginica
6.70,2.68,5.99,2.22,virginica
6.92,3.21,6.19,2.17,virginica
7.75,2.85,6.45,2.30,virginica

