Car_Name,Year,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner,Selling_Price
alto 800,2014,3.4,32000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,18000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.2,46000,Diesel,Dealer,Manual,1,5.5
swift,2010,6.4,54000,Diesel,Dealer,Manual,2,3.1
ertiga,2014,7.7,42000,Diesel,Individual,Manual,1,5.1
sx4,2015,9.6,36000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.7,13000,CNG,Dealer,Manual,0,4.3
alto 800,2017,3.4,14000,Petrol,Dealer,Manual,0,3.2
dzire,2009,6.5,80000,Petrol,Dealer,Manual,2,2.4
ritz,2014,6.0,25000,Petrol,Dealer,Manual,0,3.85
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.2
swift,2013,6.8,39000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,8.0,28000,Diesel,Dealer,Manual,0,6.3
s cross,2017,9.3,17000,Diesel,Dealer,Manual,0,7.9
wagon r,2012,4.2,40000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.0,62000,Petrol,Dealer,Manual,2,1.9
sx4,2015,10.0,19000,Diesel,Dealer,Manual,0,8.0
ciaz,2014,8.3,36000,Petrol,Dealer,Manual,0,6.5
ritz,2013,5.5,41000,Petrol,Dealer,Manual,0,3.2
ertiga,2018,11.0,20000,Diesel,Dealer,Automatic,0,9.4
swift,2016,7.2,25000,Diesel,Individual,Manual,0,5.7
dzire,2008,6.9,79000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.1,54000,CNG,Dealer,Manual,2,2.7
alto 800,2015,3.6,28000,Petrol,Dealer,Manual,0,3.0
sx4,2014,9.3,38000,Diesel,Dealer,Manual,0,7.3
ciaz,2013,7.9,44000,Petrol,Dealer,Manual,1,5.1
ertiga,2018,11.3,16000,Diesel,Dealer,Manual,0,9.7
swift,2012,6.1,49000,Diesel,Dealer,Manual,1,4.0
ritz,2015,6.0,20000,Petrol,Dealer,Manual,0,4.9
wagon r,2017,4.8,15000,CNG,Dealer,Manual,0,4.1
alto 800,2016,3.5,17000,Petrol,Dealer,Manual,0,3.3
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.3
sx4,2012,9.1,44000,Diesel,Dealer,Manual,0,6.1
ertiga,2013,9.0,48000,Diesel,Dealer,Manual,1,5.2
swift,2016,7.4,23000,Petrol,Dealer,Manual,0,5.9
wagon r,2010,4.0,57000,CNG,Dealer,Manual,2,1.8
alto 800,2018,3.7,11000,Petrol,Dealer,Manual,0,3.3
ritz,2013,5.6,27000,Petrol,Dealer,Manual,0,3.4
ciaz,2016,8.8,24000,Diesel,Dealer,Manual,0,6.9
s cross,2014,8.4,30000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,10.9,18000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.2,62000,Petrol,Dealer,Manual,1,3.4
wagon r,2013,4.4,46000,CNG,Dealer,Manual,0,3.1
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.9
ritz,2015,5.7,17000,Petrol,Dealer,Manual,0,4.6
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.4
swift,2010,6.3,53000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.6,41000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.5,35000,Diesel,Dealer,Manual,0,6.9
wagon r,2016,4.5,12000,CNG,Dealer,Manual,0,4.1
alto 800,2017,3.4,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.6,81000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.1,24000,Petrol,Dealer,Manual,0,3.9
ciaz,2016,9.0,22000,Petrol,Dealer,Automatic,0,7.0
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.4
ertiga,2015,7.9,29000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.1,61000,Petrol,Dealer,Manual,2,2.0
sx4,2015,9.9,18000,Diesel,Dealer,Manual,0,7.9
ciaz,2014,8.2,35000,Petrol,Dealer,Manual,0,6.4
ritz,2013,5.4,40000,Petrol,Dealer,Manual,0,3.1
ertiga,2018,10.8,19000,Diesel,Dealer,Automatic,0,9.3
swift,2016,7.1,24000,Diesel,Individual,Manual,0,5.8
dzire,2008,6.8,78000,Petrol,Dealer,Manual,1,2.7
wagon r,2011,4.0,53000,CNG,Dealer,Manual,2,2.6
alto 800,2015,3.5,27000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.1,37000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.8,43000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.1,15000,Diesel,Dealer,Manual,0,9.5
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.8
ritz,2015,5.9,19000,Petrol,Dealer,Manual,0,4.7
wagon r,2017,4.6,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.3,16000,Petrol,Dealer,Manual,0,3.1
ciaz,2014,8.3,38000,Diesel,Dealer,Manual,1,6.2
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.0
ertiga,2013,8.6,47000,Diesel,Dealer,Manual,1,5.1
swift,2016,7.3,22000,Petrol,Dealer,Manual,0,5.7
wagon r,2010,4.0,56000,CNG,Dealer,Manual,2,1.7
alto 800,2018,3.7,12000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.2
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.0
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.0
dzire,2011,7.1,61000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.1
alto 800,2014,3.3,30000,Petrol,Dealer,Manual,0,2.7
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.0,44000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.1
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.4
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.9
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,37000,Diesel,Dealer,Manual,0,4.4
ertiga,2015,7.8,27000,Diesel,Dealer,Manual,0,6.2
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.7
wagon r,2012,4.1,38000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.8
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.1
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
s cross,2014,8.5,29000,Diesel,Dealer,Manual,0,6.1
ertiga,2017,11.0,17000,Diesel,Dealer,Automatic,0,9.1
dzire,2011,7.1,60000,Petrol,Dealer,Manual,1,3.5
wagon r,2013,4.3,45000,CNG,Dealer,Manual,0,3.0
alto 800,2014,3.3,31000,Petrol,Dealer,Manual,0,2.8
ritz,2015,5.8,19000,Petrol,Dealer,Manual,0,4.5
ciaz,2012,8.1,45000,Diesel,Dealer,Manual,1,5.3
swift,2010,6.3,52000,Diesel,Dealer,Manual,2,3.0
ertiga,2014,7.4,40000,Diesel,Individual,Manual,1,5.0
sx4,2015,9.4,34000,Diesel,Dealer,Manual,0,7.0
wagon r,2016,4.6,11000,CNG,Dealer,Manual,0,4.2
alto 800,2017,3.5,13000,Petrol,Dealer,Manual,0,3.1
dzire,2009,6.4,79000,Petrol,Dealer,Manual,2,2.3
ritz,2014,6.0,23000,Petrol,Dealer,Manual,0,3.8
ciaz,2016,9.1,21000,Petrol,Dealer,Automatic,0,7.1
swift,2013,6.7,38000,Diesel,Dealer,Manual,0,4.3
ertiga,2015,7.9,27000,Diesel,Dealer,Manual,0,6.1
s cross,2017,9.2,16000,Diesel,Dealer,Manual,0,7.8
wagon r,2012,4.1,39000,CNG,Dealer,Manual,1,3.0
alto 800,2011,3.2,60000,Petrol,Dealer,Manual,2,1.9
sx4,2015,9.7,17000,Diesel,Dealer,Manual,0,7.7
ciaz,2014,8.3,35000,Petrol,Dealer,Manual,0,6.3
ritz,2013,5.5,40000,Petrol,Dealer,Manual,0,3.0
ertiga,2018,10.9,18000,Diesel,Dealer,Automatic,0,9.0
swift,2016,7.2,24000,Diesel,Individual,Manual,0,5.6
dzire,2008,6.8,77000,Petrol,Dealer,Manual,1,2.8
wagon r,2011,4.0,52000,CNG,Dealer,Manual,2,2.5
alto 800,2015,3.4,26000,Petrol,Dealer,Manual,0,2.9
sx4,2014,9.2,36000,Diesel,Dealer,Manual,0,7.2
ciaz,2013,7.7,42000,Petrol,Dealer,Manual,1,5.0
ertiga,2018,11.2,16000,Diesel,Dealer,Manual,0,9.4
swift,2012,6.0,48000,Diesel,Dealer,Manual,1,3.9
ritz,2015,6.0,19000,Petrol,Dealer,Manual,0,4.6
wagon r,2017,4.7,14000,CNG,Dealer,Manual,0,4.0
alto 800,2016,3.6,15000,Petrol,Dealer,Manual,0,3.2
ciaz,2014,8.4,39000,Diesel,Dealer,Manual,1,6.4
sx4,2012,9.0,43000,Diesel,Dealer,Manual,0,6.2
ertiga,2013,8.7,47000,Diesel,Dealer,Manual,1,5.3
swift,2016,7.5,22000,Petrol,Dealer,Manual,0,6.0
wagon r,2010,4.1,55000,CNG,Dealer,Manual,2,2.0
alto 800,2018,3.7,13000,Petrol,Dealer,Manual,0,3.4
ritz,2013,5.7,26000,Petrol,Dealer,Manual,0,3.3
ciaz,2016,8.9,23000,Diesel,Dealer,Manual,0,6.8
