bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1750,7200,1,0,0,3,1750,0,1976,0,320000
1,1.0,900,5400,1,0,0,1,900,0,1957,0,205000
4,2.5,2300,9850,1,0,0,4,2100,200,1982,0,450000
3,2.0,1800,7900,1,0,0,3,1800,0,1973,0,330000
2,1.0,1300,6700,1,0,0,3,1300,0,1987,0,290000
5,3.0,3200,13000,2,1,0,5,3200,0,2000,2010,600000
2,1.0,900,6000,1,0,0,2,900,0,1982,0,260000
4,2.0,2550,10800,1.5,0,0,4,2350,200,1990,0,470000
3,1.5,1750,7300,1,0,0,3,1750,0,1979,0,315000
1,1.0,850,5600,1,0,0,1,850,0,1963,0,210000

